NamaToko,Alamat,Distrik,WS,Telepon,Latitude,Longitude
Purnomo,Imogiri Timur,KOT,007,,-7.8299212,110.3908433
Grosir Murah Jaya,"Jl mentri supeno, umbulharjo, yogyakarta",KOT,008,+62 813-9585-7172,-7.816831,110.385397
Grosir Mumun,Pasar kranggan,KOT,009,+62 852-2877-0607,-7.7828973,110.3652868
Grosir Gajah Mungkur,Kios Pasar Kranggan,KOT,010,+62 813-2879-3372,-7.782897,110.366176
Jadi Jaya,"Sonosewu, Kasihan Bantul",KOT,011,837723568,-7.806494,110.341645
Grosir Bu Harto,"Jl poncowinatan, kranggan",KOT,012,+62 813-9164-6828,-7.782049,110.366839
Grosir Maha Jaya,Jl. Wates pakuncen Wirobrajan,KOT,013,274588861,-7.7802717,110.3453858
Toko 69,Kota Jogja,KOT,014,,-7.807481,110.360132
Toko Muja Muju,Jl.Kusumanegara,KOT,015,,-7.8274323,110.3972124
Toko Djago,Jl Gajahmada Purwokinanti,KOT,016,87839044755,-7.801391,110.373003
Toko Sinar Jaya,Jl Tukangan lempuyangan,KOT,017,,-7.791341,110.37237
Grosir Budi,Jl. Ngapak - Kentheng No.47 A,KOT,018,+62 819-0939-9213,-7.7801,110.3453
Grosir Berkat,Jl Klepu Sendang Mulyo,SLM,001,,-7.756363,110.243286
Kusuma,Jl. Gondang,SLM,002,,-7.693155,110.292961
Grosir Sempulur,"V404 Pasar Cebongan, Jalan Kebon Agung, Desa Gabahan VI",SLM,003,+62 831-7450-9730,-7.801103,110.323985
Naufan,Kebonan kalasan,SLM,004,,-7.785181,110.46373
Grosir Bu Suti,"Gabahan, Sumberadi",SLM,005,,-7.785181,110.46373
Restu,Pasar Godean,SLM,006,81348137052,-7.76999,110.301874
Grosir Kumalasari,Pasar Demangan,SLM,007,+62 813-2625-2362,-7.780956,110.389046
Sumarja,Pasar Godean B8,SLM,008,81904243663,-7.766209,110.291231
Toko Mahasiswa,Condong catur,SLM,009,81328003147,-7.755345,110.39668
Toko Parjianto,"Tanjungtirto, Berbah",SLM,010,85643512456,-7.786876,110.463445
Grosir Bu Kas,Kios Pasar Cebongan,SLM,011,+62 821-3489-8758,-7.7304,110.3314
Grosir Mekar Jaya,Sumberadi mlati sleman,SLM,012,+62 896-5265-4285,-7.7162,110.3388
Grosir Bu Sis,Pasar Sleman,SLM,013,+62 813-3410-1790,-7.7018,110.3473
Grosir Edi,"Jl palagan, ngaglik",SLM,014,+62 897-5070-322,-7.743,110.3742
Grosir Ita,"Pasar rejondani, ngaglik",SLM,015,+62 813-2682-9057,-7.7096,110.3876
Swalayan Jabung,"Dusun Jabung, sleman",SLM,016,+62 812-3175-5589,-7.685985,110.3676
Grosir Bu Sri,"Pendowoharjo, sleman",SLM,017,81904262726,-7.701095,110.367365
Muara Salju,"Jl. Purwomartani No.13, Sanggrahan, Purwomartani",SLM,018,+62 813-9298-8544,-7.7512,110.4502
Bu Tinem,"Jl. Opak III No.16, Krajan",SLM,019,+62 895-6053-75567,-7.742182,110.474925
Toko Ali Murah,"7CXX+43P, Jl. Raya Kemasan, Dalem, Widodomartani, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55584, Indonesia",SLM,020,+62 896-8805-5178,-7.72997,110.452858
Toko Erma,"7CXW+VM4, Area Sawah, Widodomartani, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55584, Indonesia",SLM,021,6.28139E+12,-7.70215,110.4477
Toko Be One Mart,"Gadingan, Argomulyo, Kec. Cangkringan, Kabupaten Sleman",SLM,022,+62 856-4268-1489,-7.662925,110.465392
Toko Kusuma 99,"8CQM+MJF, Sembungan, Wukirsari, Kec. Cangkringan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55583, Indonesia",SLM,023,+62 857-0155-8710,-7.667573,110.414256
Toko Kurnia ,"Jl. Raya Turi No.23, Klarangan, Harjobinangun, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55582, Indonesia",SLM,024,+62 821-3736-9471,-7.662755,110.413142
Grosir Pak Jiman,"Gamping Tengah, Ambarketawang, Kec. Gamping",SLM,025,+62 821-3668-3606,-7.8014,110.3234
Grosir Erin,"Teguhan, Kalitirto, Kec. Berbah",SLM,026,+62 882-9877-8675,-7.791428,110.459601
Toko Tanjung Baru,"Ruko Pasar Degolan No. 5, Jl. Kaliurang No.Km 15, Ngemplak, Umbulmartani, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55584, Indonesia",SLM,027,+62 821-3374-8334,-7.685042,110.419279
Toko Martiah,"Pasar ngino, Ngino Papringan, Margoagung, Kec. Seyegan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55561, Indonesia",SLM,028,+62 813-9205-2072,-7.70867,110.298232
Toko Erika sembako,"76FM+FQM, Kliran, Sendangagung, Kec. Minggir, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55562, Indonesia",SLM,029,+62 813-2883-8064,-7.726281,110.234787
Toko Via Wijaya,"Jl. Kabupaten No.115, Ngawean, Trihanggo, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55291, Indonesia",SLM,030,+62 858-0001-0685,-7.757812,110.346109
Toko Wardani,"Jl. Sersan Kusdiyo, Kalah Ijo 1, Triharjo, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55514, Indonesia",SLM,031,818468566,-7.701925,110.347733
Grosir Arum,"Jl Cempaka - Condongcatur, Depok, Sleman",SLM,032,87871111105,-7.756981,110.405992
Bu Sempulur,Pasar Gamping,SLM,033,,-7.801057,110.323977
Grosir Tarjo,Triharjo Sleman,SLM,034,+62 812-3371-2243,-7.701673,110.346924
Grosir Aliyah,Pasar Sleman,SLM,035,+62 857-4283-6183,-7.701987,110.347502
TS Grosir,Gentan,SLM,036,,-7.7194,110.404
Toko Agung,Jalan Besi Jangkang,SLM,037,+62 821-3484-9303,-7.700246,110.415381
Grosir Marlam,Pasar Prambanan,SLM,038,87876892929,-7.756382,110.489563
Grosir Rejeki,Wukirsari Cangkringan,SLM,039,,-7.7292266,110.4522858
Sedulurku,Pasar Colombo,SLM,040,81227413000,-7.745491,110.3889923
Toko Padma jaya,"Jl. Raya Janti No.385, Modalan, Banguntapan",SLM,041,87738324559,-7.798443096,110.4078571
Grosir Hartini,Pasar Mlati,SLM,042,87738509339,-7.7409339,110.3634186
Grosir Ar Rohman,Labungrejo Pasar Tempel,SLM,043,+62 851-7227-1942,,
Grosir Alura,Bangun Kerto Kecamatan Turi,SLM,044,0813-2551-7874,,
Akhmadi," Mungur, Srimartani, Kec. Piyungan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55792, Indonesia",SLM,045,85878821534,-7.826778,110.476361
Grosir Kelik,jl sidomulyo sleman,SLM,046,+62 815-7841-5772,,
Grosir Sevilla,jl agrowisata wonokerto turi,SLM,047,+62 899-3428-800,,
Grosir Merly,JL Raya kadisoka purwomartani kalasan sleman,SLM,048,,,
Grosir Nurjanah,Sardonoharjo ngaglik sleman,SLM,049,+62 822-2771-2204,,
Grosir Yanti,Jl palagan tentara pelajar ngaglik sleman,SLM,050,81915565109,,
Grosir Ndari,jl palagan tentara pelajar sariharjo ngaglik sleman,SLM,051,87828063197,,
Grosir Mery,jl jambon sindumartani kecamatan ngemplak sleman,SLM,052,8.95E+11,,
Grosir Rahmat Jaya,Pasar jangkang widodomartani Ngemplak Sleman,SLM,053,+62 858-7961-8823,,
